Denominazione Corpo Idrico;Codice Europeo Corpo Idrico; Codice Regionale Stazione;Tipologia Corpo Idrico;Tipologia Monitoraggio;Stato/Potenziale Ecologico triennio 2021-2023;Stato Chimico triennio 2021-2023
Fiume Sacco 5;IT12N005_SACCO5_13SS4T;F1.68;Naturale;Nucleo/Operativo;Scarso;Non Buono
Fiume Salto 1;IT12N010_SALTO1_13SS3T;F3.50;Naturale;Operativo;Buono;Buono
Fiume Salto 2;IT12N010_SALTO2_13SS3T;F3.15;Naturale;Sorveglianza;Buono;Buono
Fiume Tevere 2;IT12N010_TEVERE2_11SS5T;F3.76 - F5.27;Fortemente Modificato;Operativo;Sufficiente;Buono
Fiume Tevere 3;IT12N010_TEVERE3_14SS5D;F4.08;Fortemente Modificato;Operativo;Scarso;Buono
Fiume Tevere 4;IT12N010_TEVERE4_14SS5D;F4.63;Fortemente Modificato;Operativo;Scarso;Buono
Fiume Tevere 5;IT12N010_TEVERE5_14SS5D;F4.06 - F4.62;Fortemente Modificato;Operativo;Scarso;Non Buono
Fiume Turano 3;IT12N010_TURANO3_13SS3T;F3.20;Naturale;Operativo;Buono;Buono
Fiume Ufente 1;IT12R12BAD_UFENTE1_15AS6T;F2.70;Naturale;Operativo;Sufficiente;Buono
Fiume Ufente 2;IT12R12BAD_UFENTE2_15SS2T;F2.05;Fortemente Modificato;Operativo;Scarso;Buono
Fiume Velino 1;IT12N010_VELINO1_13SR6T;F3.61;Naturale;Operativo;Buono;Buono
Fiume Velino 3;IT12N010_VELINO3_13SS3T;F3.62;Naturale;Operativo;Buono;Buono
Fiume Velino 4;IT12N010_VELINO4_13SS4T;F3.48;Fortemente Modificato;Nucleo/Operativo;Scarso;Buono
Fosso Bagnatore 1;IT12N010_BAGNAT1_13SS2T;F4.82;Naturale;Sorveglianza;Buono;n.d.
Fosso Corese 1;IT12N010_CORESE1_13IN7T;F3.77;Naturale;Sorveglianza;Buono;Buono
Fosso Corese 2;IT12N010_CORESE2_13SS2T;F3.78;Naturale;Sorveglianza;Buono;Buono
Fosso Corese 3;IT12N010_CORESE3_14SS3F;F4.17;Naturale;Operativo;Scarso;Buono
Fosso della Torraccia 2;IT12N010_TORRAC2_14SS2T;F4.83;Naturale;Operativo;Scarso;Buono
Fosso delle Cadute 2;IT12R12MIG-ARS_CADUTE2_14SS2T;F4.69;Naturale;Sorveglianza;Scarso;Buono
Fosso dell'Osa 1;IT12N010_DELLOSA1_14SS2T;F4.84;Fortemente Modificato;Operativo;Sufficiente;Buono
Fosso di Leprignano 2;IT12N010_LEPRIG2_14SS2T;F4.86;Naturale;Operativo;Scarso;Buono
Fosso di Rustica 2;IT12N010_RUSTICA2_14SS2T;F5.75;Naturale;Operativo;Scarso;Buono
Fosso Galeria 1;IT12N010_GALERIA1_14SS1T;F4.79;Naturale;Operativo;Scarso;Buono
Fosso Galeria 2;IT12N010_GALERIA2_14SS3T;F4.18;Fortemente Modificato;Nucleo/Operativo;Cattivo;Non Buono
